,Model,df,logLik,AIC,BIC,
7,LG+G,222,-304661.8068,609767.6136,611688.6983,-0.000414871
8,LG+G+I,223,-304661.5106,609769.0211,611698.7594,1.407142254
6,LG+I,222,-305542.4162,611528.8325,613449.9172,1761.218477
11,WAG+G,222,-306465.5573,613375.1147,615296.1994,3607.500676
12,WAG+G+I,223,-306464.558,613375.116,615304.8543,3607.502018
19,cpREV+G,193,-306676.5637,613739.1274,615409.2596,3971.513437
20,cpREV+G+I,194,-306676.1686,613740.3373,615419.123,3972.72326
3,JTT+G,222,-307000.6509,614445.3018,616366.3865,4677.687755
4,JTT+G+I,223,-307000.0224,614446.0448,616375.783,4678.430753
10,WAG+I,222,-307207.0698,614858.1397,616779.2244,5090.525679
18,cpREV+I,193,-307661.0156,615708.0311,617378.1634,5940.417149
2,JTT+I,222,-307812.1751,616068.3502,617989.435,6300.73623
16,Dayhoff+G+I,188,-309393.5464,619163.0929,620789.9574,9395.478874
15,Dayhoff+G,187,-309394.9628,619163.9257,620782.1367,9396.311674
5,LG,221,-309819.5285,620081.057,621993.4882,10313.44297
14,Dayhoff+I,187,-310368.2149,621110.4298,622728.6408,11342.81575
9,WAG,221,-311334.3464,623110.6927,625023.1239,13343.0787
17,cpREV,192,-312119.0348,624622.0697,626283.5483,14854.45567
1,JTT,221,-312292.5348,625027.0696,626939.5007,15259.45556
13,Dayhoff,186,-315308.8208,630989.6416,632599.199,21222.02757
31,mtREV24+G,191,-320493.7197,641369.4393,643022.2644,31601.8253
32,mtREV24+G+I,192,-320493.6677,641371.3355,643032.8142,31603.7215
30,mtREV24+I,191,-321828.3945,644038.789,645691.6142,34271.17503
28,mtArt+G+I,125,-322946.8751,646143.7503,647225.4421,36376.13628
27,mtArt+G,124,-322952.5812,646153.1625,647226.2008,36385.54848
26,mtArt+I,124,-325293.6349,650835.2698,651908.3081,41067.65579
29,mtREV24,190,-326351.6771,653083.3542,654727.5258,43315.74021
24,mtmam+G+I,115,-327410.692,655051.384,656046.5405,45283.77004
23,mtmam+G,114,-327421.2653,655070.5307,656057.0337,45302.91669
22,mtmam+I,114,-330244.0065,660716.013,661702.516,50948.399
25,mtArt,123,-331135.025,662516.05,663580.4348,52748.436
21,mtmam,113,-336863.2859,673952.5719,674930.4213,64184.95788
