Model,deltaAIC*,AIC,AICw,negLog,
MtMam+I+F,17863.61,615329.78,0,-307631.89,ProtTest
mtmam+I+G,37731.77359,637187.8946,599456.121,-318478.9473,modelTest
MtMam+I+G,39514.5,636980.67,0,-318475.34,ProtTest
MtMam+I+G+F,12304.88,609771.06,0,-304851.53,ProtTest
MtREV,47192.37,644658.54,0,-322316.27,ProtTest
MtREV+F,19027.92,616494.09,0,-308215.05,ProtTest
MtREV+G,32494.45,629960.62,0,-314966.31,ProtTest
MtREV+G+F,6032.18,603498.36,0,-301716.18,ProtTest
MtREV+I,36176.74,633642.92,0,-316807.46,ProtTest
MtREV+I+F,8851.43,606317.61,0,-303125.8,ProtTest
MtREV+I+G,32492.42,629958.6,0,-314964.3,ProtTest
MtREV+I+G+F,6023.99,603490.16,0,-301711.08,ProtTest
mtREV24,45556.42229,645012.5433,599456.121,-322316.2716,modelTest
mtREV24+G,30858.55445,630314.6754,599456.121,-314966.3377,modelTest
mtREV24+I,34540.81431,633996.9353,599456.121,-316807.4676,modelTest
mtREV24+I+G,30858.55468,630314.6756,599456.121,-314965.3378,modelTest
RtREV,17192.04,614658.21,0,-307316.11,ProtTest
RtREV+F,12352.59,609818.77,0,-304877.38,ProtTest
RtREV+G,7093.78,604559.96,0,-302265.98,ProtTest
RtREV+G+F,1865.14,599331.32,0,-299632.66,ProtTest
RtREV+I,8897.72,606363.9,0,-303167.95,ProtTest
RtREV+I+F,3753.53,601219.71,0,-300576.86,ProtTest
RtREV+I+G,7088.84,604555.02,0,-302262.51,ProtTest
RtREV+I+G+F,1858.86,599325.04,0,-299628.52,ProtTest
VT,20538.68,618004.86,0,-308989.43,ProtTest
VT+F,18492.13,615958.3,0,-307947.15,ProtTest
VT+G,10056.19,607522.37,0,-303747.18,ProtTest
VT+G+F,7856.4,605322.57,0,-302628.29,ProtTest
VT+I,12372.04,609838.22,0,-304905.11,ProtTest
VT+I+F,10208.16,607674.34,0,-303804.17,ProtTest
VT+I+G,10057.62,607523.8,0,-303746.9,ProtTest
VT+I+G+F,7857.72,605323.89,0,-302627.95,ProtTest
WAG,14399.81,611865.98,0,-305919.99,ProtTest
WAG,12825.8635,612281.9845,599456.121,-305919.9922,modelTest
WAG+F,11200.1,608666.28,0,-304301.14,ProtTest
WAG+G,5869.13,603335.3,0,-301653.65,ProtTest
WAG+G,4295.189836,603751.3108,599456.121,-301653.6554,modelTest
WAG+G+F,2338.4,599804.58,0,-299869.29,ProtTest
WAG+I,7159.54,604625.72,0,-302298.86,ProtTest
WAG+I,5585.597539,605041.7185,599456.121,-302298.8593,modelTest
WAG+I+F,3715.02,601181.2,0,-300557.6,ProtTest
WAG+I+G,4295.64418,603751.7651,599456.121,-301652.8826,modelTest
WAG+I+G,5865.13,603331.31,0,-301650.65,ProtTest
WAG+I+G+F,2334.47,599800.65,0,-299866.33,ProtTest
