Model,deltaAIC*,AIC,AICw,negLog,
------------------------------------------------------------,,,,,
Blosum62,17400.01,614866.18,0,-307420.09,ProtTest
Blosum62+F,15227.54,612693.72,0,-306314.86,ProtTest
Blosum62+G,9743.74,607209.92,0,-303590.96,ProtTest
Blosum62+G+F,7374.14,604840.31,0,-302387.16,ProtTest
Blosum62+I,10935.43,608401.61,0,-304186.8,ProtTest
Blosum62+I+F,8594.43,606060.6,0,-302997.3,ProtTest
Blosum62+I+G,9743.72,607209.9,0,-303589.95,ProtTest
Blosum62+I+G+F,7373.66,604839.84,0,-302385.92,ProtTest
CpREV,15329.1,612795.27,0,-306384.64,ProtTest
cpREV,13641.45566,613097.5766,599456.121,-306356.7883,modelTest
CpREV+F,13105.27,610571.45,0,-305253.72,ProtTest
CpREV+G,5947.39,603413.57,0,-301692.78,ProtTest
cpREV+G,4248.201389,603704.3224,599456.121,-301659.1612,modelTest
CpREV+G+F,3144.98,600611.16,0,-300272.58,ProtTest
CpREV+I,7635.57,605101.75,0,-302536.87,ProtTest
cpREV+I,5939.423036,605395.544,599456.121,-302504.772,modelTest
CpREV+I+F,4915.75,602381.92,0,-301157.96,ProtTest
cpREV+I+G,4249.304022,603705.425,599456.121,-301658.7125,modelTest
CpREV+I+G,5945.82,603411.99,0,-301691,ProtTest
CpREV+I+G+F,3141.19,600607.37,0,-300269.68,ProtTest
Dayhoff,22271.96,619738.13,0,-309856.07,ProtTest
Dayhoff,20618.62526,620074.7462,599456.121,-309851.3731,modelTest
Dayhoff+F,15759.51,613225.69,0,-306580.85,ProtTest
Dayhoff+G,11228.19,608694.37,0,-304333.19,ProtTest
Dayhoff+G,9626.211731,609082.3327,599456.121,-304354.1663,modelTest
Dayhoff+G+F,4373.4,601839.57,0,-300886.79,ProtTest
Dayhoff+I,13202.23,610668.41,0,-305320.2,ProtTest
Dayhoff+I,11585.31901,611041.44,599456.121,-305333.72,modelTest
Dayhoff+I+F,6394.87,603861.04,0,-301897.52,ProtTest
Dayhoff+I+G,9625.402118,609081.5231,599456.121,-304352.7615,modelTest
Dayhoff+I+G,11219.49,608685.67,0,-304327.83,ProtTest
Dayhoff+I+G+F,4363.04,601829.22,0,-300880.61,ProtTest
DCMut,22262.57,619728.75,0,-309851.37,ProtTest
DCMut+F,15746.36,613212.53,0,-306574.27,ProtTest
DCMut+G,11270.16,608736.33,0,-304354.17,ProtTest
DCMut+G+F,4412.95,601879.13,0,-300906.56,ProtTest
DCMut+I,13229.26,610695.44,0,-305333.72,ProtTest
DCMut+I+F,6420.88,603887.06,0,-301910.53,ProtTest
DCMut+I+G,11261.5,608727.67,0,-304348.84,ProtTest
DCMut+I+G+F,4402.71,601868.89,0,-300900.44,ProtTest
HIVb,30680.94,628147.12,0,-314060.56,ProtTest
HIVb+F,26030.96,623497.13,0,-311716.57,ProtTest
HIVb+G,13825.33,611291.5,0,-305631.75,ProtTest
HIVb+G+F,8567.83,606034,0,-302984,ProtTest
HIVb+I,16855.65,614321.83,0,-307146.91,ProtTest
HIVb+I+F,11754.81,609220.99,0,-304577.49,ProtTest
HIVb+I+G,13767.57,611233.74,0,-305601.87,ProtTest
HIVb+I+G+F,8505.68,605971.85,0,-302951.93,ProtTest
HIVw,49481.75,646947.93,0,-323460.96,ProtTest
HIVw+F,38395.25,635861.43,0,-317898.71,ProtTest
HIVw+G,29585.42,627051.6,0,-313511.8,ProtTest
HIVw+G+F,19017.55,616483.73,0,-308208.87,ProtTest
HIVw+I,33307.21,630773.39,0,-315372.69,ProtTest
HIVw+I+F,22313.73,619779.91,0,-309856.95,ProtTest
HIVw+I+G,29498.24,626964.42,0,-313467.21,ProtTest
HIVw+I+G+F,18914.45,616380.63,0,-308156.32,ProtTest
JTT,16956.57,614422.75,0,-307198.37,ProtTest
JTT,15292.34894,614748.4699,599456.121,-307153.235,modelTest
JTT+F,13779.53,611245.71,0,-305590.85,ProtTest
JTT+G,6376.46,603842.63,0,-301907.32,ProtTest
JTT+G,4752.435704,604208.5567,599456.121,-301882.2783,modelTest
JTT+G+F,2976.15,600442.33,0,-300188.16,ProtTest
JTT+I,8163.52,605629.69,0,-302800.85,ProtTest
JTT+I,6535.266653,605991.3876,599456.121,-302773.6938,modelTest
JTT+I+F,4812.72,602278.9,0,-301106.45,ProtTest
JTT+I+G,4752.000056,604208.121,599456.121,-301881.0605,modelTest
JTT+I+G,6369.15,603835.33,0,-301902.67,ProtTest
JTT+I+G+F,2968.1,600434.27,0,-300183.14,ProtTest
LG,12034.93,609501.11,0,-304737.55,ProtTest
LG,10460.9875,609917.1085,599456.121,-304737.5542,modelTest
LG+F,10714.02,608180.2,0,-304058.1,ProtTest
LG+G,1573.94,599040.12,0,-299506.06,ProtTest
LG+G,0,599456.121,599456.121,-299506.0605,modelTest
LG+G+F,4.88,597471.06,0.08,-298702.53,ProtTest
LG+I,3521.49,600987.66,0,-300479.83,ProtTest
LG+I,1947.544933,601403.6659,599456.121,-300479.833,modelTest
LG+I+F,1999.17,599465.35,0,-299699.67,ProtTest
LG+I+G,0.201343425,599456.3223,599456.121,-299505.1612,modelTest
LG+I+G,1569.71,599035.89,0,-299502.94,ProtTest
LG+I+G+F,0,597466.18,0.92,-298699.09,ProtTest
MtArt,56291.47,653757.65,0,-326865.82,ProtTest
mtArt,54447.12967,653903.2506,599456.121,-326828.6253,modelTest
MtArt+F,25480.29,622946.47,0,-311441.23,ProtTest
MtArt+G,33374.79,630840.97,0,-315406.49,ProtTest
mtArt+G,31589.09301,631045.214,599456.121,-315398.607,modelTest
MtArt+G+F,6807.48,604273.65,0,-302103.83,ProtTest
MtArt+I,40400.02,637866.19,0,-318919.1,ProtTest
mtArt+I,38592.95783,638049.0788,599456.121,-318900.5394,modelTest
MtArt+I+F,12000,609466.18,0,-304700.09,ProtTest
mtArt+I+G,31585.09357,631041.2145,599456.121,-315395.6073,modelTest
MtArt+I+G,33366.12,630832.3,0,-315401.15,ProtTest
MtArt+I+G+F,6789.02,604255.19,0,-302093.6,ProtTest
MtMam,66536.56,664002.74,0,-331988.37,ProtTest
mtmam,64746.62005,664202.741,599456.121,-331988.3705,modelTest
MtMam+F,34321,631787.18,0,-315861.59,ProtTest
MtMam+G,39530.75,636996.93,0,-318484.47,ProtTest
mtmam+G,37740.80933,637196.9303,599456.121,-318484.4651,modelTest
MtMam+G+F,12360.41,609826.58,0,-304880.29,ProtTest
MtMam+I,47986.1,645452.28,0,-322712.14,ProtTest
mtmam+I,46196.29879,645652.4198,599456.121,-322712.2099,modelTest
