Orf,Beyer_Phi,SEMPPR_Mean_Phi,Ingolia_Phi
YBL085W,0.031640698,0.006009138,0.071868009
YBL087C,7.181200003,1.246473396,NA
YBL088C,0.002629041,0.000526066,0.000671623
YBL089W,0.016702542,0.019320985,0.068918664
YBL090W,0.055902728,0.082549452,1.461868967
YBL091C,0.390439473,0.037620297,1.397102735
YBL091C-A,NA,NA,0.093649187
YBL092W,5.544289736,2.296904394,3100.043602
YBL093C,0.067958759,0.022822126,1.929557354
YBL097W,0.001670517,0.007715439,0.025011217
YBL098W,0.019064772,0.027436263,0.208219395
YBL099W,0.229308514,0.096971378,2.542255926
YBL101C,0.023209521,0.005596894,0.008046111
YBL102W,0.079503509,0.018463341,1.494712453
YBL103C,0.005756445,0.033434754,0.079143329
YBL105C,0.008728362,0.00663382,0.048023717
YBL106C,0.004269278,0.005519465,0.005018191
YBR001C,0.018068902,0.008157918,0.035235789
YBR002C,0.034806113,0.028148393,0.367848781
YBR003W,0.021917997,0.021313509,0.073128483
YBR004C,0.045965161,0.037780939,0.07035616
YBR005W,0.067819437,0.017575056,0.226741348
YBR006W,0.009430413,0.033639057,0.021401529
YBR008C,0.009960584,0.022913134,0.000295413
YBR009C,0.932662166,3.101867191,NA
YBR010W,8.729256444,1.632199389,NA
YBR011C,1.21090101,0.394605152,69.27590733
YBR014C,0.170943377,0.063801909,1.517710922
YBR015C,0.075827494,0.014236775,0.219606452
YBR017C,0.034862602,0.007561419,0.349081867
YBR018C,0.002648635,0.052945406,NA
YBR019C,0.00283851,0.015703629,NA
YBR020W,0.001344937,0.031727871,NA
YBR021W,0.01161537,0.028747526,0.003911963
YBR022W,0.040041624,0.060350677,0.445134783
YBR023C,0.036188513,0.005055749,0.157728802
YBR024W,0.020691009,0.034366191,0.066735424
YBR025C,0.733925149,0.251498491,55.9228595
YBR026C,0.05271526,0.03926539,0.365529453
YBR029C,0.086138597,0.030081058,0.202630785
YBR031W,7.695652183,0.644165555,NA
YBR034C,0.151262521,0.087952408,3.901539079
YBR035C,0.262260547,0.140905658,3.127682324
YBR036C,0.212089667,0.016271871,1.098196375
YBR037C,0.014638559,0.01167775,0.088475135
YBR038W,0.022520397,0.010442882,0.046128428
